date,game_number,tries_fox,time_fox,hints_fox,tries_brittany,time_brittany,hints_brittany
10/19/22,114,6,,0,2,,0
10/20/22,115,4,,0,4,1:36,0
10/21/22,116,12,,0,9,9:04,0
10/22/22,117,9,3:37,0,7,6:13,0
10/23/22,118,1,0:50,0,1,1:05,0
10/24/22,119,2,0:32,0,2,0:58,0
10/25/22,120,19,9:13,0,2,1:21,0
10/26/22,121,8,2:57,0,2,1:30,0
10/27/22,122,,,,3,1:28,0
10/28/22,123,,,,1,0:26,0
10/29/22,124,9,3:10,0,4,1:46,0
10/30/22,125,6,2:15,0,6,3:39,0
10/31/22,126,,,,5,2:03,0
11/01/22,127,,,,1,0:40,0
11/02/22,128,,,,2,0:40,0
11/03/22,129,,,,,,
11/04/22,130,,,,1,0:35,0
11/05/22,131,1,0:17,0,3,1:48,0
11/06/22,132,,,,,,
11/07/22,133,,,,3,1:28,0
11/08/22,134,,,,,,
11/09/22,135,,,,,,
11/10/22,136,,,,4,1:45,0
11/11/22,137,,,,1,0:42,0
11/12/22,138,11,2:49,0,2,0:58,0
11/13/22,139,,,,2,1:08,0
11/14/22,140,,,,2,1:49,0
11/15/22,141,,,,,,
11/16/22,142,23,5:28,0,8,2:40,0
11/17/22,143,7,4:25,0,2,1:15,0
11/18/22,144,30,12:31,0,10,5:12,0
11/19/22,145,31,8:53,0,5,3:01,0
11/20/22,146,7,3:03,0,13,5:31,0
11/21/22,147,2,1:09,0,1,0:30,0
11/22/22,148,,,,,,
11/23/22,149,3,3:10,0,,,
11/24/22,150,20,6:44,0,4,2:23,0
11/25/22,151,2,1:22,0,1,0:55,0
11/26/22,152,2,0:54,0,,,
11/27/22,153,23,11:13,0,8,3:26,0
11/28/22,154,2,1:06,0,,,
11/29/22,155,14,7:13,0,,,
11/30/22,156,9,3:15,0,,,
12/01/22,157,7,3:58,0,12,5:44,0
12/02/22,158,,,,,,
12/03/22,159,11,6:19,0,4,1:48,0
12/04/22,160,1,0:42,0,1,0:50,0
12/05/22,161,3,1:46,0,,,
12/06/22,162,1,0:27,0,1,0:24,0
12/07/22,163,4,1:44,0,2,0:49,0
12/08/22,164,6,3:10,0,1,0:31,0
12/09/22,165,1,0:28,0,1,0:50,0
12/10/22,166,2,1:17,0,1,1:03,0
12/11/22,167,3,1:22,0,,,
12/12/22,168,6,3:14,0,16,6:51,0
12/13/22,169,34,11:49,0,7,3:58,0
12/14/22,170,,,,4,1:42,0
12/15/22,171,1,0:58,0,1,0:39,0
12/16/22,172,3,1:26,0,2,1:16,0
12/17/22,173,2,0:37,0,7,2:53,0
12/18/22,174,6,2:18,0,9,3:47,0
12/19/22,175,4,2:24,0,,,
12/20/22,176,6,2:28,0,9,4:04,0
12/21/22,177,4,1:40,0,10,3:59,0
12/22/22,178,1,0:37,0,1,0:37,0
12/23/22,179,5,4:57,0,14,9:19,3
12/24/22,180,3,2:16,0,3,2:30,0
12/25/22,181,5,2:27,0,2,1:07,0
12/26/22,182,1,0:25,0,1,0:24,0
12/27/22,183,2,1:06,0,5,2:56,0
12/28/22,184,2,0:49,0,2,1:15,0
12/29/22,185,1,0:28,0,1,0:26,0
12/30/22,186,2,1:23,0,1,1:36,0
12/31/22,187,8,3:01,0,14,6:32,1
01/01/23,188,1,0:44,0,2,1:09,0
01/02/23,189,,,,,,
01/03/23,190,7,3:41,0,9,3:42,0
01/04/23,191,2,1:10,0,6,3:42,0
01/05/23,192,6,2:15,0,3,1:54,0
01/06/23,193,1,1:41,0,2,1:21,0
01/07/23,194,2,0:32,0,1,0:38,0
01/08/23,195,3,0:55,0,1,0:24,0
01/09/23,196,6,2:35,0,1,0:47,0
01/10/23,197,2,1:05,0,1,0:44,0
01/11/23,198,92,27:48:00,0,19,7:30,2
01/12/23,199,1,0:45,0,1,0:19,0
01/13/23,200,2,0:46,0,6,4:20,0
01/14/23,201,2,1:11,0,23,8:47,0
01/15/23,202,1,0:14,0,2,0:40,0
01/16/23,203,1,0:24,0,1,0:16,0
01/17/23,204,9,4:13,0,44,17:28,3
01/18/23,205,2,1:01,0,2,1:39,0
01/19/23,206,4,1:02,0,1,0:28,0
01/20/23,207,4,1:05,0,1,0:23,0
01/21/23,208,1,0:23,0,2,1:19,0
01/22/23,209,5,1:47,0,8,3:41,0
01/23/23,210,4,2:17,0,4,2:26,0
01/24/23,211,1,0:25,0,13,6:40,0
01/25/23,212,3,1:00,0,4,2:02,0
01/26/23,213,1,0:55,0,2,0:44,0
01/27/23,214,1,0:35,0,5,2:07,0
01/28/23,215,1,0:18,0,1,0:40,0
01/29/23,216,2,1:19,0,4,1:50,0
01/30/23,217,2,0:41,0,1,0:18,0
01/31/23,218,3,1:01,0,2,1:39,0
02/01/23,219,7,2:18,0,8,3:32,0
02/02/23,220,9,2:57,0,3,1:56,0
02/03/23,221,2,0:45,0,3,1:17,0
02/04/23,222,2,0:59,0,8,2:49,0
02/05/23,223,4,1:27,0,20,9:33,0
02/06/23,224,4,1:37,0,1,0:23,0
02/07/23,225,5,2:04,0,18,7:25,0
02/08/23,226,2,0:34,0,5,2:04,0
02/09/23,227,3,1:08,0,2,0:35,0
02/10/23,228,7,1:51,0,5,1:18,0
02/11/23,229,2,0:47,0,1,0:17,0
02/12/23,230,5,1:42,0,18,343:31:00,0
02/13/23,231,2,1:01,0,12,3:58,0
02/14/23,232,23,4:10,0,9,3:35,0
02/15/23,233,1,0:19,0,4,1:49,0
02/16/23,234,1,0:50,0,1,0:38,0
02/17/23,235,2,1:24,0,3,1:11,0
02/18/23,236,1,0:08,0,1,0:14,0
02/19/23,237,7,1:41,0,2,0:58,0
02/20/23,238,1,0:18,0,3,1:13,0
02/21/23,239,3,1:08,0,1,0:43,0
02/22/23,240,2,0:28,0,1,0:26,0
02/23/23,241,5,1:18,0,14,5:23,0
02/24/23,242,2,0:52,0,9,6:19,0
02/25/23,243,2,0:27,0,1,0:21,0
02/26/23,244,1,0:21,0,2,1:09,0
02/27/23,245,7,2:13,0,17,5:22,0
02/28/23,246,2,0:35,0,12,3:48,0
03/01/23,247,16,3:34,0,1,0:28,0
03/02/23,248,2,0:37,0,6,2:30,0
03/03/23,249,62,25:21:00,0,26,9:46,2
03/04/23,250,1,0:27,0,3,1:11,0
03/05/23,251,10,10:12,0,2,1:02,0
03/06/23,252,3,4:07,0,2,0:58,0
03/07/23,253,4,1:01,0,2,0:28,0
03/08/23,254,2,0:39,0,1,0:34,0
03/09/23,255,44,19:18,0,1,0:45,0
03/10/23,256,1,0:16,0,1,0:36,0
03/11/23,257,1,0:38,0,3,1:48,0
03/12/23,258,3,0:58,0,2,1:03,0
03/13/23,259,1,0:50,0,1,0:31,0
03/14/23,260,1,0:20,0,2,0:47,0
03/15/23,261,1,0:18,0,2,0:31,0
03/16/23,262,1,0:26,0,2,1:30,0
03/17/23,263,1,0:28,0,1,0:26,0
03/18/23,264,1,0:21,0,7,2:01,0
03/19/23,265,2,0:59,0,2,0:58,0
03/20/23,266,4,1:46,0,8,3:13,0
03/21/23,267,4,2:28,0,4,1:40,0
03/22/23,268,2,0:34,0,1,0:16,0
03/23/23,269,5,1:56,0,2,0:35,0
03/24/23,270,3,1:11,0,6,1:59,0
03/25/23,271,3,1:35,0,18,6:02,0
03/26/23,272,1,0:20,0,1,0:29,0
03/27/23,273,1,0:32,0,6,2:18,0
03/28/23,274,1,0:11,0,1,0:34,0
03/29/23,275,1,0:29,0,5,1:40,0
03/30/23,276,1,0:33,0,,,
03/31/23,277,4,1:48,0,1,0:29,0
04/01/23,278,3,0:41,0,3,0:52,0
04/02/23,279,1,0:28,0,2,1:04,0
04/03/23,280,2,1:56,0,2,0:37,0
04/04/23,281,1,0:23,0,1,0:17,0
04/05/23,282,17,6:43,0,5,1:59,0
04/06/23,283,28,10:10,0,37,13:24,2
04/07/23,284,2,0:55,0,8,3:32,0
04/08/23,285,2,0:38,0,4,295:55:00,0
04/09/23,286,3,1:01,0,1,0:23,0
04/10/23,287,142,31:03:00,0,98,27:12:00,2
04/11/23,288,65,13:10,0,77,21:12,4
04/12/23,289,3,0:59,0,14,3:29,0
04/13/23,290,2,1:12,0,44,11:01,1
04/14/23,291,1,0:21,0,2,0:33,0
04/15/23,292,33,10:59,0,26,8:25,1
04/16/23,293,6,3:27,0,13,3:36,1
04/17/23,294,2,0:45,0,3,1:00,0
04/18/23,295,9,2:17,0,19,4:50,0
04/19/23,296,3,0:55,0,13,4:02,0
04/20/23,297,1,0:19,0,1,0:28,0
04/21/23,298,5,2:01,0,4,1:27,0
04/22/23,299,7,1:57,0,3,1:10,0
04/23/23,300,6,1:51,0,4,1:19,0
04/24/23,301,4,4:09,0,49,14:22,0
04/25/23,302,2,0:44,0,48,12:10,0
04/26/23,303,,,,,,
04/27/23,304,2,0:17,0,1,0:12,0
04/28/23,305,21,9:44,0,,,
04/29/23,306,5,1:14,0,13,5:08,0
04/30/23,307,5,2:41,0,,,
05/01/23,308,22,4:28,0,8,2:13,0
05/02/23,309,18,6:19,0,16,5:26,0
05/03/23,310,15,4:35,0,3,1:11,0
